message_id,sent_time,messages_sent_in_day
1970268.0,2013-04-05,1
2298946.0,2013-05-29,1
2575515.0,2013-07-13,1
2610242.0,2013-07-17,1
2926234.0,2013-08-20,1
3110458.0,2013-09-06,1
3130002.0,2013-09-08,1
3255637.0,2013-09-18,1
3387239.0,2013-09-29,1
3447200.0,2013-10-03,1
3861761.0,2013-11-05,1
3949012.0,2013-11-12,1
4082149.0,2013-11-21,1
4155079.0,2013-11-27,1
4214299.0,2013-12-03,1
4348242.0,2013-12-12,1
4374202.0,2013-12-15,1
4384330.0,2013-12-16,1
4495880.0,2013-12-26,1
4569256.0,2014-01-01,1
4583204.0,2014-01-02,1
4621515.0,2014-01-04,1
4678673.0,2014-01-07,1
4743194.0,2014-01-10,1
4761212.0,2014-01-11,1
4831117.0,2014-01-14,1
4882719.0,2014-01-17,1
4993390.0,2014-01-23,1
5025999.0,2014-01-24,1
5116854.0,2014-01-29,1
5245310.0,2014-02-05,1
5322663.0,2014-02-09,1
5359655.0,2014-02-11,1
5796069.0,2014-03-01,1
5851670.0,2014-03-04,1
5851896.0,2014-03-04,2
5853612.0,2014-03-04,3
5948879.0,2014-03-07,1
6023444.0,2014-03-11,1
6090357.0,2014-03-14,1
6144796.0,2014-03-16,1
6174973.0,2014-03-18,1
6323260.0,2014-03-25,1
6366507.0,2014-03-27,1
6534141.0,2014-04-02,1
6616172.0,2014-04-06,1
6688595.0,2014-04-08,1
6922048.0,2014-04-18,1
7041460.0,2014-04-23,1
7067217.0,2014-04-24,1
7096079.0,2014-04-25,1
7300262.0,2014-05-03,1
7336120.0,2014-05-05,1
7398366.0,2014-05-07,1
7599527.0,2014-05-15,1
7604054.0,2014-05-15,2
7625589.0,2014-05-16,1
7648767.0,2014-05-17,1
7655490.0,2014-05-17,2
7656367.0,2014-05-17,3
7741827.0,2014-05-21,1
7759564.0,2014-05-21,2
7796184.0,2014-05-23,1
7796654.0,2014-05-23,2
7824266.0,2014-05-24,1
7832111.0,2014-05-25,1
7835265.0,2014-05-25,2
7884050.0,2014-05-27,1
7911665.0,2014-05-28,1
7919102.0,2014-05-28,2
7949312.0,2014-05-29,1
7949647.0,2014-05-29,2
8042720.0,2014-06-02,1
8153484.0,2014-06-06,1
8155267.0,2014-06-06,2
8168868.0,2014-06-07,1
8294471.0,2014-06-12,1
8339875.0,2014-06-14,1
8394042.0,2014-06-16,1
8471153.0,2014-06-19,1
8590893.0,2014-06-24,1
8623911.0,2014-06-25,1
8693067.0,2014-06-27,1
