sent_time,messages_sent_in_day
2013-04-05,1
2013-05-29,1
2013-07-13,1
2013-07-17,1
2013-08-20,1
2013-09-06,1
2013-09-08,1
2013-09-18,1
2013-09-29,1
2013-10-03,1
2013-11-05,1
2013-11-12,1
2013-11-21,1
2013-11-27,1
2013-12-03,1
2013-12-12,1
2013-12-15,1
2013-12-16,1
2013-12-26,1
2014-01-01,1
2014-01-02,1
2014-01-04,1
2014-01-07,1
2014-01-10,1
2014-01-11,1
2014-01-14,1
2014-01-17,1
2014-01-23,1
2014-01-24,1
2014-01-29,1
2014-02-05,1
2014-02-09,1
2014-02-11,1
2014-03-01,1
2014-03-04,1
2014-03-04,2
2014-03-04,3
2014-03-07,1
2014-03-11,1
2014-03-14,1
2014-03-16,1
2014-03-18,1
2014-03-25,1
2014-03-27,1
2014-04-02,1
2014-04-06,1
2014-04-08,1
2014-04-18,1
2014-04-23,1
2014-04-24,1
2014-04-25,1
2014-05-03,1
2014-05-05,1
2014-05-07,1
2014-05-15,1
2014-05-15,2
2014-05-16,1
2014-05-17,1
2014-05-17,2
2014-05-17,3
2014-05-21,1
2014-05-21,2
2014-05-23,1
2014-05-23,2
2014-05-24,1
2014-05-25,1
2014-05-25,2
2014-05-27,1
2014-05-28,1
2014-05-28,2
2014-05-29,1
2014-05-29,2
2014-06-02,1
2014-06-06,1
2014-06-06,2
2014-06-07,1
2014-06-12,1
2014-06-14,1
2014-06-16,1
2014-06-19,1
2014-06-24,1
2014-06-25,1
2014-06-27,1
2014-06-27,2
2014-06-29,1
2014-06-30,1
2014-07-03,1
2014-07-04,1
2014-07-08,1
2014-07-09,1
2014-07-14,1
2014-07-15,1
2014-07-16,1
2014-07-17,1
2014-07-18,1
2014-07-18,2
2014-07-21,1
2014-07-21,2
2014-07-25,1
2014-07-29,1
2014-07-29,2
2014-07-29,3
2014-07-30,1
2014-08-01,1
2014-08-01,2
2014-08-04,1
2014-08-09,1
2014-08-11,1
2014-08-12,1
2014-08-12,2
2014-08-14,1
2014-08-17,1
2014-08-19,1
2014-08-20,1
2014-08-21,1
2014-08-21,2
2014-08-21,3
2014-08-28,1
2014-08-28,2
2014-09-01,1
2014-09-02,1
2014-09-02,2
2014-09-03,1
2014-09-03,2
2014-09-06,1
2014-09-08,1
2014-09-09,1
2014-09-09,2
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-15,2
2014-09-15,3
2014-09-16,1
2014-09-18,1
2014-09-22,1
2014-09-24,1
2014-09-25,1
2014-09-27,1
2014-09-28,1
2014-09-30,1
2014-10-02,1
2014-10-02,2
2014-10-03,1
2014-10-06,1
2014-10-07,1
2014-10-07,2
2014-10-10,1
2014-10-10,2
2014-10-11,1
2014-10-15,1
2014-10-17,1
2014-10-23,1
2014-10-23,2
2014-10-24,1
2014-10-29,1
2014-10-29,2
2014-11-02,1
2014-11-03,1
2014-11-04,1
2014-11-06,1
2014-11-07,1
2014-11-09,1
2014-11-11,1
2014-11-12,1
2014-11-12,2
2014-11-13,1
2014-11-13,2
2014-11-14,1
2014-11-15,1
2014-11-19,1
2014-11-19,2
2014-11-24,1
2014-11-26,1
2014-11-27,1
2014-11-29,1
2014-12-01,1
2014-12-01,2
2014-12-03,1
2014-12-04,1
2014-12-05,1
2014-12-06,1
2014-12-10,1
2014-12-10,2
2014-12-11,1
2014-12-12,1
2014-12-12,2
2014-12-12,3
2014-12-15,1
2014-12-16,1
2014-12-18,1
2014-12-18,2
2014-12-21,1
2014-12-28,1
2015-01-05,1
2015-01-09,1
2015-01-09,2
2015-01-10,1
2015-01-10,2
2015-01-11,1
2015-01-12,1
2015-01-12,2
2015-01-12,3
2015-01-13,1
2015-01-14,1
2015-01-18,1
2015-01-20,1
2015-01-27,1
2015-01-28,1
2015-01-30,1
2015-01-31,1
2015-01-31,2
2015-02-01,1
2015-02-01,2
2015-02-03,1
2015-02-03,2
2015-02-03,3
2015-02-03,4
2015-02-04,1
2015-02-04,2
2015-02-05,1
2015-02-06,1
2015-02-06,2
2015-02-08,1
2015-02-11,1
2015-02-12,1
2015-02-13,1
2015-02-16,1
2015-02-16,2
2015-02-17,1
2015-02-19,1
2015-02-21,1
2015-02-21,2
2015-02-22,1
2015-02-28,1
2015-03-02,1
2015-03-03,1
2015-03-04,1
2015-03-05,1
2015-03-09,1
2015-03-10,1
2015-03-13,1
2015-03-15,1
2015-03-16,1
2015-03-17,1
2015-03-18,1
2015-03-21,1
2015-03-22,1
2015-03-26,1
2015-03-27,1
2015-03-28,1
2015-03-28,2
2015-03-28,3
2015-03-29,1
2015-03-31,1
2015-04-02,1
2015-04-02,2
2015-04-02,3
2015-04-03,1
2015-04-06,1
2015-04-10,1
2015-04-10,2
2015-04-13,1
2015-04-14,1
2015-04-18,1
2015-04-18,2
2015-04-28,1
2015-04-30,1
2015-04-30,2
2015-04-30,3
2015-05-01,1
2015-05-01,2
2015-05-01,3
2015-05-02,1
2015-05-02,2
2015-05-03,1
2015-05-03,2
2015-05-04,1
2015-05-04,2
2015-05-06,1
2015-05-07,1
2015-05-07,2
2015-05-07,3
2015-05-08,1
2015-05-08,2
2015-05-09,1
2015-05-10,1
2015-05-11,1
2015-05-11,2
2015-05-12,1
2015-05-14,1
2015-05-14,2
2015-05-15,1
2015-05-15,2
2015-05-18,1
2015-05-19,1
2015-05-19,2
2015-05-20,1
2015-05-20,2
2015-05-21,1
2015-05-21,2
2015-05-21,3
2015-05-21,4
2015-05-21,5
2015-05-21,6
2015-05-21,7
2015-05-22,1
2015-05-22,2
2015-05-23,1
2015-05-23,2
2015-05-24,1
2015-05-25,1
2015-05-25,2
2015-05-26,1
2015-05-26,2
2015-05-26,3
2015-05-27,1
2015-05-27,2
2015-05-27,3
2015-05-27,4
2015-05-28,1
2015-05-28,2
2015-05-29,1
2015-05-29,2
2015-05-30,1
2015-06-01,1
2015-06-01,2
2015-06-02,1
2015-06-02,2
2015-06-03,1
2015-06-03,2
2015-06-03,3
2015-06-03,4
2015-06-04,1
2015-06-04,2
2015-06-04,3
2015-06-04,4
2015-06-07,1
2015-06-07,2
2015-06-09,1
2015-06-10,1
2015-06-11,1
2015-06-11,2
2015-06-13,1
2015-06-15,1
2015-06-15,2
2015-06-15,3
2015-06-15,4
2015-06-15,5
2015-06-16,1
2015-06-16,2
2015-06-16,3
2015-06-17,1
2015-06-17,2
2015-06-17,3
2015-06-17,4
2015-06-18,1
2015-06-18,2
2015-06-20,1
2015-06-22,1
2015-06-22,2
2015-06-22,3
2015-06-22,4
2015-06-23,1
2015-06-23,2
2015-06-23,3
2015-06-25,1
2015-06-26,1
2015-06-26,2
2015-06-27,1
2015-06-28,1
2015-06-29,1
2015-06-29,2
2015-06-29,3
2015-06-30,1
2015-06-30,2
2015-06-30,3
2015-06-30,4
2015-07-01,1
2015-07-01,2
2015-07-01,3
2015-07-02,1
2015-07-02,2
2015-07-02,3
2015-07-02,4
2015-07-02,5
2015-07-02,6
2015-07-04,1
2015-07-04,2
2015-07-05,1
2015-07-05,2
2015-07-06,1
2015-07-06,2
2015-07-06,3
2015-07-06,4
2015-07-07,1
2015-07-07,2
2015-07-07,3
2015-07-08,1
2015-07-08,2
2015-07-08,3
2015-07-09,1
2015-07-10,1
2015-07-10,2
2015-07-11,1
2015-07-13,1
2015-07-13,2
2015-07-14,1
2015-07-14,2
2015-07-14,3
2015-07-14,4
2015-07-15,1
2015-07-19,1
2015-07-19,2
2015-07-20,1
2015-07-20,2
2015-07-21,1
2015-07-21,2
2015-07-22,1
2015-07-22,2
2015-07-22,3
2015-07-22,4
2015-07-22,5
2015-07-22,6
2015-07-22,7
2015-07-22,8
2015-07-23,1
2015-07-23,2
2015-07-24,1
2015-07-24,2
2015-07-24,3
2015-07-24,4
2015-07-26,1
2015-07-27,1
2015-07-28,1
2015-07-29,1
2015-07-29,2
2015-07-29,3
2015-07-29,4
2015-07-31,1
2015-07-31,2
2015-07-31,3
2015-07-31,4
2015-07-31,5
2015-08-01,1
2015-08-01,2
2015-08-02,1
2015-08-03,1
2015-08-03,2
2015-08-04,1
2015-08-04,2
2015-08-05,1
2015-08-06,1
2015-08-06,2
2015-08-06,3
2015-08-07,1
2015-08-07,2
2015-08-07,3
2015-08-08,1
2015-08-08,2
2015-08-09,1
2015-08-09,2
2015-08-09,3
2015-08-09,4
2015-08-10,1
2015-08-10,2
2015-08-11,1
2015-08-11,2
2015-08-12,1
2015-08-12,2
2015-08-12,3
2015-08-12,4
2015-08-13,1
2015-08-13,2
2015-08-13,3
2015-08-14,1
2015-08-14,2
2015-08-14,3
2015-08-16,1
2015-08-17,1
2015-08-17,2
2015-08-17,3
2015-08-17,4
2015-08-17,5
2015-08-18,1
2015-08-18,2
2015-08-18,3
2015-08-18,4
2015-08-19,1
2015-08-19,2
2015-08-20,1
2015-08-21,1
2015-08-22,1
2015-08-22,2
2015-08-23,1
2015-08-24,1
2015-08-25,1
2015-08-27,1
2015-08-27,2
2015-08-27,3
2015-08-27,4
2015-08-29,1
2015-08-29,2
2015-08-29,3
2015-08-31,1
2015-08-31,2
2015-08-31,3
2015-08-31,4
2015-09-02,1
2015-09-03,1
2015-09-03,2
2015-09-08,1
2015-09-08,2
2015-09-09,1
2015-09-09,2
2015-09-10,1
2015-09-10,2
2015-09-11,1
2015-09-12,1
2015-09-14,1
2015-09-15,1
2015-09-15,2
2015-09-16,1
2015-09-16,2
2015-09-17,1
2015-09-18,1
2015-09-18,2
2015-09-21,1
2015-09-21,2
2015-09-22,1
2015-09-22,2
2015-09-23,1
2015-09-23,2
2015-09-24,1
2015-09-26,1
2015-09-27,1
2015-09-27,2
2015-09-28,1
2015-09-28,2
2015-09-28,3
2015-09-28,4
2015-09-28,5
2015-10-02,1
2015-10-04,1
2015-10-05,1
2015-10-05,2
2015-10-06,1
2015-10-06,2
2015-10-07,1
2015-10-07,2
2015-10-07,3
2015-10-07,4
2015-10-07,5
2015-10-08,1
2015-10-11,1
2015-10-12,1
2015-10-13,1
2015-10-13,2
2015-10-13,3
2015-10-15,1
2015-10-16,1
2015-10-16,2
2015-10-16,3
2015-10-17,1
2015-10-17,2
